Ano;MunicipioResidencia;NotaCh;NotaCn;NotaLc;NotaMt;UfResidencia;CoUfResidencia;Idade;NotaComp1;NotaComp2;NotaComp3;NotaComp4;NotaComp5;NotaRedacao;CorRaca;DependenciaAdmEsc;LocalizacaoEsc;StConclusao;StatusRedacao
2019;Bom Jesus do Tocantins;574.9;532.1;563.1;623.6;PA;15;17;120;120;160;140;120;660;3;2;1;2;1
2019;Chorozinho;601.3;552.8;596.4;762;CE;23;17;160;160;160;140;160;780;3;2;1;2;1
2019;Monção;461.7;446.4;448.9;376.9;MA;21;17;120;120;120;120;100;580;3;2;1;2;1
2019;Pedro II;344.1;359.3;390.8;398.7;PI;22;29;60;80;60;80;0;280;3;2;1;2;1
2019;Óbidos;511.8;443.3;481;505.2;PA;15;18;120;120;120;100;80;540;3;2;1;2;1
2019;Tartarugalzinho;494;395.3;531.9;501;AP;16;16;120;120;120;120;0;480;3;2;1;2;1
2019;Parnarama;477.8;473.1;482.6;470.3;MA;21;19;120;120;120;120;60;540;3;2;1;2;1
2019;Araripe;457.5;463.2;496.8;487.2;CE;23;17;140;120;120;120;140;640;3;2;1;2;1
2019;Nova Olinda;473.5;493.6;554.7;482;TO;17;18;160;180;160;140;140;780;3;2;1;2;1
2019;Jaguaruana;574;552.9;591.4;589.6;CE;23;17;160;200;180;180;200;920;3;2;1;2;1
2019;Ribeira do Piauí;393;361.6;412.8;432.9;PI;22;21;20;40;20;0;0;80;3;2;1;2;1
2019;Cururupu;389.2;463.1;450.6;486.3;MA;21;17;120;120;120;120;100;580;3;2;1;2;1
2019;Óbidos;491.8;402;443.2;543.1;PA;15;18;100;140;140;120;140;640;3;2;1;2;1
2019;Icó;513.8;425.2;461;458.1;CE;23;18;120;80;60;100;0;360;3;2;1;2;1
2019;São Domingos do Maranhão;440.2;359.2;453.2;376.8;MA;21;17;140;120;120;120;0;500;3;2;1;2;1
2019;Eusébio;418.7;416.6;488.3;468.5;CE;23;18;100;120;120;80;80;500;2;2;1;2;1
2019;Beneditinos;373;456.1;462.8;418.5;PI;22;17;140;120;120;120;40;540;2;2;1;2;1
2019;Bernardo do Mearim;504.8;514.9;483.1;494.8;MA;21;18;120;120;100;120;0;460;2;2;1;2;1
2019;São João Batista;494.1;412;457.3;386.7;MA;21;18;120;120;120;120;60;540;2;2;1;2;1
2019;Bequimão;469;493.5;514.5;401.4;MA;21;18;120;40;40;100;20;320;2;2;1;2;1
2019;Itapiúna;540.9;451.7;517.4;462.5;CE;23;18;120;120;120;120;80;560;2;2;1;2;1
2019;Peixe-Boi;541.8;434.4;571;513.2;PA;15;17;120;120;120;140;120;620;2;2;1;2;1
2019;Santa Luzia do Pará;457;428;475.1;416.8;PA;15;17;120;120;140;180;120;680;2;2;1;2;1
2019;Barbalha;380.1;446.4;498.7;499.2;CE;23;18;100;60;60;100;0;320;2;2;1;2;1
2019;Pastos Bons;386.7;457.1;464.2;397.1;MA;21;17;0;0;0;0;0;0;2;2;1;2;3
2019;Vigia;460.6;443.7;484.5;517.3;PA;15;17;0;0;0;0;0;0;2;2;1;2;8
2019;Tomé-Açu;421.9;362;448.6;588.2;PA;15;21;60;100;80;60;0;300;2;2;1;2;1
2019;Bom Lugar;446.3;421.7;494;562.2;MA;21;17;80;80;80;80;0;320;2;2;1;2;1
2019;Medicilândia;495.5;449.3;436.7;360.4;PA;15;17;60;120;120;140;100;540;2;2;1;2;1
